truck_id,tracking_number,lat,lng,timestamp_offset_seconds
T-01,FF-000301,33.980557,-117.375552,0
T-02,FF-000302,33.770534,-118.193713,1
T-03,FF-000303,34.06361,-117.651014,2
T-04,FF-000304,33.684995,-117.826798,3
T-01,FF-000301,33.98195,-117.373621,4
T-05,FF-000305,34.092611,-117.434755,4
T-02,FF-000302,33.769529,-118.189529,5
T-06,FF-000306,34.051847,-118.242988,5
T-03,FF-000303,34.063922,-117.652525,6
T-07,FF-000307,33.875551,-117.566412,6
T-04,FF-000304,33.686115,-117.822338,7
T-08,FF-000308,34.108425,-117.290389,7
T-01,FF-000301,33.983337,-117.372626,8
T-05,FF-000305,34.090029,-117.434457,8
T-02,FF-000302,33.769815,-118.185492,9
T-06,FF-000306,34.047957,-118.243572,9
T-03,FF-000303,34.064221,-117.65344,10
T-07,FF-000307,33.878501,-117.5671,10
T-04,FF-000304,33.68812,-117.817839,11
T-08,FF-000308,34.108528,-117.291893,11
T-01,FF-000301,33.984877,-117.370616,12
T-05,FF-000305,34.088713,-117.434381,12
T-02,FF-000302,33.769275,-118.18128,13
T-06,FF-000306,34.044751,-118.243865,13
T-03,FF-000303,34.064289,-117.654346,14
T-07,FF-000307,33.880766,-117.567309,14
T-04,FF-000304,33.689939,-117.814538,15
T-08,FF-000308,34.109496,-117.293917,15
T-01,FF-000301,33.986123,-117.368874,16
T-05,FF-000305,34.086681,-117.433425,16
T-02,FF-000302,33.769368,-118.177398,17
T-06,FF-000306,34.040076,-118.243949,17
T-03,FF-000303,34.065067,-117.656897,18
T-07,FF-000307,33.883384,-117.568815,18
T-04,FF-000304,33.691548,-117.810272,19
T-08,FF-000308,34.109605,-117.295897,19
T-01,FF-000301,33.987678,-117.366947,20
T-05,FF-000305,34.085736,-117.432808,20
T-02,FF-000302,33.769611,-118.17342,21
T-06,FF-000306,34.036549,-118.243619,21
T-03,FF-000303,34.065425,-117.657827,22
T-07,FF-000307,33.886716,-117.568915,22
T-04,FF-000304,33.69377,-117.805927,23
T-08,FF-000308,34.110263,-117.298299,23
T-01,FF-000301,33.989235,-117.365664,24
T-05,FF-000305,34.083818,-117.432625,24
T-02,FF-000302,33.769232,-118.168959,25
T-06,FF-000306,34.032526,-118.244296,25
T-03,FF-000303,34.065608,-117.658942,26
T-07,FF-000307,33.888417,-117.56972,26
T-04,FF-000304,33.695375,-117.80174,27
T-08,FF-000308,34.11097,-117.30008,27
T-01,FF-000301,33.990256,-117.364417,28
T-05,FF-000305,34.081969,-117.432005,28
T-02,FF-000302,33.769167,-118.165703,29
T-06,FF-000306,34.028595,-118.244052,29
T-03,FF-000303,34.066059,-117.66107,30
T-07,FF-000307,33.89168,-117.569918,30
T-04,FF-000304,33.697134,-117.798017,31
T-08,FF-000308,34.111681,-117.301853,31
T-01,FF-000301,33.992,-117.362148,32
T-05,FF-000305,34.080314,-117.431344,32
T-02,FF-000302,33.769106,-118.161185,33
T-06,FF-000306,34.024003,-118.244012,33
T-03,FF-000303,34.065914,-117.661601,34
T-07,FF-000307,33.894311,-117.571338,34
T-04,FF-000304,33.699251,-117.79351,35
T-08,FF-000308,34.111972,-117.30399,35
T-01,FF-000301,33.993397,-117.361016,36
T-05,FF-000305,34.078981,-117.430988,36
T-02,FF-000302,33.769117,-118.157498,37
T-06,FF-000306,34.020309,-118.243559,37
T-03,FF-000303,34.066956,-117.662636,38
T-07,FF-000307,33.896979,-117.572215,38
T-04,FF-000304,33.701095,-117.790082,39
T-08,FF-000308,34.111906,-117.306399,39
T-05,FF-000305,34.077286,-117.430376,40
T-01,FF-000301,33.995011,-117.359878,41
T-02,FF-000302,33.76948,-118.153838,41
T-06,FF-000306,34.017405,-118.243089,41
T-03,FF-000303,34.067397,-117.665196,42
T-07,FF-000307,33.899758,-117.573079,42
T-04,FF-000304,33.702761,-117.785796,43
T-08,FF-000308,34.112105,-117.307284,43
T-05,FF-000305,34.075727,-117.429416,44
T-01,FF-000301,33.996235,-117.357765,45
T-02,FF-000302,33.768674,-118.149632,45
T-06,FF-000306,34.012738,-118.243677,45
T-03,FF-000303,34.067363,-117.666526,46
T-07,FF-000307,33.902369,-117.573893,46
T-04,FF-000304,33.704871,-117.781941,47
T-08,FF-000308,34.112589,-117.310237,47
T-05,FF-000305,34.074158,-117.428838,48
T-01,FF-000301,33.998077,-117.35647,49
T-02,FF-000302,33.769362,-118.145949,49
T-06,FF-000306,34.009207,-118.243089,49
T-03,FF-000303,34.067878,-117.667245,50
T-07,FF-000307,33.904933,-117.574655,50
T-04,FF-000304,33.706473,-117.77779,51
T-08,FF-000308,34.113149,-117.312283,51
T-05,FF-000305,34.07199,-117.428497,52
T-01,FF-000301,33.999424,-117.354822,53
T-06,FF-000306,34.00497,-118.2433,53
T-02,FF-000302,33.769686,-118.141637,54
T-03,FF-000303,34.067298,-117.668087,54
T-07,FF-000307,33.907924,-117.575183,54
T-04,FF-000304,33.708662,-117.774412,55
T-08,FF-000308,34.113405,-117.314781,55
T-05,FF-000305,34.070954,-117.427587,56
T-01,FF-000301,34.00105,-117.353744,57
T-06,FF-000306,34.001856,-118.243119,57
T-02,FF-000302,33.769288,-118.137722,58
T-03,FF-000303,34.068066,-117.670626,58
T-07,FF-000307,33.910404,-117.575639,58
